"5140"	[1112823.5700000024, 81218.18000000047, 137.04723768472937]
"5147"	[138386.88000000038, 10002.740000000009, 60.882921249450234]
"5154"	[188255.98000000004, 16655.190000000002, 146.50270817120625]
"5161"	[20769.840000000004, 1037.25, 81.77102362204725]
"5168"	[64033.40999999987, 2752.450000000001, 107.61917647058802]
"5175"	[45144.300000000025, 2961.709999999996, 60.35334224598934]
"5182"	[176383.39999999973, 12692.410000000034, 84.96310211946037]
"5189"	[16616.010000000002, 876.75, 174.90536842105266]
"5196"	[215971.37999999893, 12436.720000000052, 53.79112826899102]
"5203"	[280474.160000001, 22502.259999999846, 94.97939722316323]
"5210"	[1021434.2300000086, 66442.51000000042, 82.6202564102571]
"5217"	[58046.910000000105, 4652.659999999999, 114.94437623762397]
"5224"	[816211.5700000068, 40527.729999999916, 148.32120116300322]
"5238"	[208682.52000000016, 14437.910000000009, 73.37641350210976]
"5245"	[532711.5100000057, 29366.3199999996, 54.42496015529278]
"5252"	[257320.30000000153, 21845.049999999967, 67.6980531439099]
"5259"	[441590.6900000007, 28208.369999999915, 35.59779846835959]
"5266"	[20615.16000000001, 1807.65, 144.16195804195812]
"5273"	[82866.99000000003, 5614.91, 136.29439144736847]
"5280"	[308370.8400000009, 22173.660000000033, 85.11477780844629]
"5287"	[235454.3999999996, 17924.05000000001, 140.56979104477588]
"5294"	[89380.21999999988, 6799.939999999998, 106.40502380952367]
"5301"	[105014.30000000003, 6815.090000000011, 127.29006060606065]
"5308"	[4760.910000000001, 307.3, 105.79800000000002]
"5315"	[451749.98000000045, 36114.78999999992, 51.5755200365339]
"5322"	[280994.90000000177, 22843.179999999993, 77.66580983969092]
"5329"	[195163.0400000002, 13913.639999999998, 128.2280157687255]
"5336"	[201000.20000000118, 13505.24, 112.4791270285401]
"5343"	[237219.79999999862, 18032.170000000006, 45.50542873585241]
"5350"	[84683.79000000008, 5767.669999999999, 124.35211453744505]
"5357"	[287392.0999999997, 18986.93, 47.25289378493911]
"5364"	[257341.6100000015, 19045.029999999973, 47.957810286992455]
"5371"	[515229.44000000285, 39825.02999999989, 184.33969230769333]
"5378"	[86448.16000000008, 6240.600000000001, 141.71829508196734]
"5385"	[409918.20000000077, 23793.0099999998, 72.20683459573732]
"5392"	[109018.0400000002, 7088.590000000002, 108.58370517928307]
"5399"	[117959.45000000014, 8865.809999999998, 80.13549592391314]
"5406"	[79034.04, 5029.450000000001, 113.39173601147775]
"5413"	[159343.20000000045, 12879.240000000007, 44.68401570387001]
"5420"	[74970.12, 5758.099999999998, 138.3212546125461]
"5427"	[1460783.4099999939, 87852.74000000038, 146.04913117376464]
"5434"	[272782.0500000003, 16389.530000000068, 55.15205216336439]
