"GoAmericaGo Beverages LLC / WhistlePig"	[301018.32, 3466.9399999999982]
"Grand Prix Beverage LLC"	[180367.5, 7066.5]
"HIGH WEST DISTILLERY LLC"	[1766.88, 14.25]
"HPSepicurean LLC / Preiss Imports"	[612.0, 18.0]
"Headframe Spirits"	[350.28, 9.0]
"Heritage Distilling Company"	[108097.5, 4874.25]
"International Beverage Co., Inc."	[10483.030000000004, 133.5]
"KOLOA RUM COMPANY"	[11471.76, 340.8]
"Keepers Quest Inc"	[1193.88, 22.5]
"Kings Country Distillery"	[9204.600000000002, 121.5]
"LUXCO INC"	[70737259.60005765, 9091386.999999326]
"M.S. Walker, Inc."	[71512.74000000006, 8449.25]
"Mango Bottling, Inc."	[279797.4500000012, 12593.089999999458]
"Marsalle Company"	[73741.82000000012, 1932.25]
"Mhw LTD"	[10650791.549997624, 431563.6699999716]
"Minhas Micro Distillery"	[10490.88999999999, 1479.25]
"Oz Spirits LLC"	[536352.2099999661, 21344.25]
"Park Street Imports-Tanteo"	[1423.68, 36.0]
"Patron Spirits Company"	[17122117.179998532, 317171.38999996264]
"Pernod Ricard USA/Austin Nichols"	[91477395.41973428, 4505429.810000885]
"Prichards Distillery Inc"	[14244.119999999999, 259.5]
"REMY COINTREAU USA INC"	[15846728.69000474, 355688.9199999473]
"Rocky Top Investments / Rock River Distillation"	[3082.5, 51.309999999999995]
"Rogue Ales and Spirits"	[83672.61999999965, 1966.5]
"SAZERAC NORTH AMERICA"	[45187461.66001806, 6265064.029998955]
"STOLI GROUP"	[3500466.2199998484, 155395.6000000003]
"STOLLER IMPORTS INC / MARSALLE COMPANY"	[63712.14000000002, 2160.35]
"Sagamore Whiskey, LLC"	[1561.3200000000002, 27.0]
"Shand Import LLC"	[2278.180000000001, 57.75]
"Spirit Imports, Inc."	[887.56, 10.5]
"Spirit of Hartford"	[213.12, 9.0]
"Spirits Of The USA"	[464.4, 24.0]
"Stoller Warehouse"	[7579.800000000001, 214.12]
"Swiss Cellars"	[9729.48, 73.71999999999998]
"TY KU LLC"	[314083.67999999836, 10288.0]
"TY KU, LLC"	[69289.56999999988, 2349.75]
"WERNER DISTILLING"	[30.28, 1.5]
"Western Spirits Beverage Co. LLC"	[915932.3400000158, 46643.48999999945]
"45TH PARALLEL SPIRITS"	[14797.040000000005, 254.5]
"Adamba Imports Int'l, Inc."	[107.88, 9.0]
"American Heritage Distillers, LLC"	[71208.58000000003, 4242.75]
"American Spirits Exchange"	[564.24, 18.0]
"BAD BEAR ENTERPRISES LLC"	[316810.5000000013, 6830.25]
"BMC Imports"	[4260.48, 72.0]
"Black Rock Spirits"	[147757.21000000072, 5006.25]
"Breuckelen Distilling"	[1503.36, 27.0]
"Campari"	[360.48, 18.0]
"Caribbean Distillers, LLC"	[174510.62000000093, 13798.249999999998]
"Dehner Distillery"	[266669.4600000016, 12689.25]
"Des Moines Imports"	[7092.0, 177.0]
"Eastside Distilling"	[13153.190000000004, 508.5]
"Four Roses Distillery"	[367821.2800000044, 11603.0]
"Gunsandmore.info"	[134536.5, 3203.250000000001]
"Haas Brothers"	[228.06, 4.5]
"Heaven Hill Brands"	[81572735.87001567, 7204581.289998099]
"Kobrand Corporation"	[72146.7900000001, 2603.25]
"Levecke Corp"	[4620.24, 189.0]
"Luxco-Cleveland"	[81778.50000000079, 8095.5]
"Luxe Vintages LLC"	[306.0, 4.5]
"Macchu Pisco LLC"	[1399.5, 31.5]
"Mast-Jaegermeister US, Inc"	[10982.189999999999, 143.57000000000005]
"McCormick Distilling Co."	[16375762.320004886, 2054875.2400009048]
"Midwest Liquor Company"	[10636.5, 807.75]
"Niche Import Co"	[174837.43000000066, 4939.9]
"One Eight Distilling LLC"	[2161.26, 40.5]
"PACIFIC EDGE WINE & SPIRITS"	[10743.179999999998, 99.0]
"Panther Distillery"	[12389.92000000001, 412.5]
"Paradise Distilling Company"	[98674.80000000002, 3035.25]
"Park Street Imports-Berentzen"	[54721.28000000015, 2676.75]
"Patriarch Distillers"	[13516.800000000017, 360.0]
"Phillips Beverage Company"	[37348458.4200032, 4113004.360000035]
"Prestige Wine & Spirits Group"	[6163933.059994555, 361202.0399999345]
"Prestige Wine and Spirits Group"	[11113379.409998855, 601179.2099999994]
"RS Lipman Company LLC"	[81243.03000000007, 7143.25]
"R\ufffdmy Cointreau USA"	[819905.1799999805, 19527.869999999893]
"Ransom Spirits LLC"	[5721.24, 126.0]
"Richland Distilling Company LLC"	[540.0, 4.5]
"Royal World Spirits"	[188.25, 6.0]
"S&B Farmstead Distillery"	[171331.53000000052, 6119.25]
"SAZERAC COMPANY  INC"	[120144684.54990038, 8569403.579994537]
"Sazerac North America"	[45752675.8800064, 6545395.089999889]
"Stanley Stawski Distributing Co."	[9534.0, 435.0]
"Sugarlands Distilling Company LLC"	[47142.07000000004, 1828.55]
"Thome Enterprises LLC"	[1296.0, 11.25]
"Topa Spirits"	[2184.84, 63.0]
"Traverse City Whiskey Co"	[6344.46, 139.5]
"Veriano Fine Foods & Spirits Ltd"	[360.0, 9.0]
"W. J. Deutsch And Sons, Ltd."	[337523.45999999717, 13845.75]
"Wilderness Trail Distillery"	[23617.8, 415.5]
"Winebow Inc"	[195.12, 9.0]
"World Trade Liquor Imports LLC"	[2142.0, 27.0]
"maDIKwe USA, Inc."	[12542.29000000001, 564.75]
"Anchor Distilling (PREISS IMPORTS)"	[170499.6900000001, 3274.0]
"Best Case Wines LLC"	[69103.86, 1764.0]
"Bmc Imports"	[10292.4, 174.0]
"CH Distillery"	[9445.350000000006, 401.25]
"CHATHAM IMPORTS INC"	[280479.68000000395, 6069.75]
"CNS Imports; Four Seasons Trading; CNS Wine & Spirits"	[12852.0, 229.5]
"Charles Jacquin Et Cie"	[354884.7900000027, 33680.14999999998]
"Charles Jacquin/Independent Spirits"	[291375.9300000115, 13402.849999999997]
"DISARONNO INTERNATIONAL"	[1890377.950000108, 69125.05]
"Distillers Way, LLC"	[56908.79999999999, 6552.0]
"Dreyfus Ashby"	[4215.42, 58.5]
"Fetzer Vineyards"	[11211.3, 93.75]
"Fifth Generation Inc."	[11702511.009995237, 654108.3399999898]
"HILLROCK ESTATE DISTILLERY"	[23834.640000000003, 162.0]
"HOTALING & CO"	[223857.86999999982, 5232.75]
"IMPERIAL BRANDS INC"	[431803.6000000006, 41463.5]
"Impex Beverages Inc"	[5976.84, 81.0]
"Infinium Spirits"	[12876187.929999424, 488153.7799999774]
"JDSO INC / Red Boot Distillery"	[1162220.4799999695, 182702.83999999944]
